uri,artist_names,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,uri_artist,artist_pop,num_followers,artist_genres,track_pop
spotify:track:0g4fMVo4JjwnIpTfFfLdxS,Taylor Swift,Cassandra,0.806,0.587,240206,0.587,0.0,0.137,-9.879,1,0.0595,139.963,4,0.514,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],69
spotify:track:2913xXOVAIDAqxzV2g4VcU,Taylor Swift,The Bolter,0.638,0.455,238242,0.586,0.0,0.131,-7.978,1,0.0492,183.694,4,0.481,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],72
spotify:track:1DTRUYVd8rYpla9hhVVwjo,Taylor Swift,The Manuscript,0.901,0.509,224744,0.256,2.43e-06,0.103,-11.665,1,0.0306,94.184,4,0.436,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],68
spotify:track:2CnjDMdpRjlWv04Xk3s6MW,Taylor Swift,Robin,0.791,0.476,240893,0.386,0.000423,0.1,-10.601,1,0.03,138.265,4,0.158,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,125121649,['pop'],67
spotify:track:3GD6eImRvT0zgr8cQnokUq,"Bhavi, Seven Kayne, Milo j, Tiago PZK, KHEA, Neo Pistea","BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix",0.203,0.728,284308,0.618,0.0,0.127,-6.621,1,0.0673,130.104,4,0.217,spotify:artist:7fT2Me47PQ8T7954PKrcwR,71,1510994,"['argentine hip hop', 'trap argentino', 'trap triste']",74
spotify:track:5oYVxFt2k4SkVp6wzVsFWN,"Sevdaliza, Villano Antillano, Tokischa","Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",0.0877,0.767,158728,0.72,0.00105,0.0985,-6.577,0,0.0659,139.995,4,0.552,spotify:artist:5MraexJKZDrQYzS98kNwie,77,724767,"['alternative r&b', 'persian electronic']",77
spotify:track:1cIS13bqNfZcTs8LSK8r0a,Felipe e Rodrigo,Gosta De Rua - Ao Vivo,0.548,0.675,171335,0.893,0.0,0.521,-5.164,0,0.141,106.064,4,0.607,spotify:artist:7gZu6kPnY9enEi5FvgTO4F,73,210654,"['sertanejo', 'sertanejo pop']",75
spotify:track:53dtP2iUMvaF28JZcHnFuU,Olivia Rodrigo,logical,0.844,0.48,231907,0.24,0.0,0.099,-8.146,1,0.0323,80.686,4,0.152,spotify:artist:1McMsnEElThX1knmY4oliG,89,40961406,['pop'],69
spotify:track:6W9l02gRsXVxzIuQC1oc1X,Olivia Rodrigo,pretty isn’t pretty,0.00243,0.559,199422,0.845,1.46e-06,0.0726,-4.394,1,0.0501,123.941,4,0.566,spotify:artist:1McMsnEElThX1knmY4oliG,89,40961406,['pop'],70
spotify:track:7fesNTgTEMEH0ye8MOgEDY,Olivia Rodrigo,teenage dream,0.835,0.426,222358,0.218,0.0,0.108,-11.705,1,0.0341,135.205,4,0.116,spotify:artist:1McMsnEElThX1knmY4oliG,89,40961406,['pop'],69
spotify:track:43eRVwfXFkY3kXN4K47gNT,Luísa Sonza,Chico,0.945,0.747,182112,0.311,0.0,0.111,-8.983,1,0.0434,100.016,4,0.435,spotify:artist:4PzYKhC14sTJNEr0dzoo0d,76,6129283,"['funk carioca', 'pop nacional']",60
spotify:track:7pgbDdy7ax962o9d2xJceV,V,Slow Dancing (Piano Ver.),0.366,0.609,188093,0.614,0.00108,0.108,-8.154,1,0.0699,156.019,4,0.564,spotify:artist:3JsHnjpbhX4SnySpvpa9DK,83,18961859,"['j-division', 'korean ost']",67
